screen_time,phone_pickups,social_media_time,addiction_level
1.8,136,0.8,Low
2.0,111,1.0,Low
7.7,99,3.1,Medium
8.1,101,3.4,Medium
9.0,109,2.5,Medium
6.7,92,3.1,Medium
8.1,91,3.2,Medium
7.1,92,2.7,Medium
8.6,119,0.8,High
7.8,102,0.7,High
9.5,107,1.0,High
9.0,121,0.7,High
9.2,112,0.8,High
10.8,117,0.9,High
1.7,247,3.8,Medium
1.6,246,4.5,Medium
1.6,291,4.1,Medium
1.6,262,4.2,Medium
1.8,208,3.5,Medium
1.7,245,4.0,Medium
6.9,296,3.0,Medium
7.0,256,3.1,Medium
7.3,312,3.3,Medium
7.5,309,3.0,Medium
5.8,308,3.1,Medium
7.1,258,2.7,Medium
3.9,286,0.6,Low
4.3,284,0.6,Low
3.9,286,0.7,Low
3.7,288,0.6,Low
3.7,277,0.6,Low
3.7,321,0.5,Low
8.3,287,1.8,High
8.1,274,2.1,High
8.5,316,1.5,High
8.5,312,1.8,High
9.2,272,2.1,High
10.2,276,1.7,High
3.3,73,1.0,Low
3.8,84,0.9,Low
3.2,70,0.9,Low
3.0,65,0.9,Low
3.3,74,1.2,Low
3.0,80,1.0,Low
8.8,152,2.7,Medium
8.8,162,2.4,Medium
9.1,154,2.8,Medium
9.1,189,2.5,Medium
8.3,142,2.6,Medium
8.2,170,3.1,Medium
5.6,15,2.7,Medium
5.3,13,2.8,Medium
5.3,15,2.8,Medium
4.8,17,3.2,Medium
5.3,14,2.8,Medium
5.8,15,3.2,Medium
11.3,258,0.4,High
11.1,237,0.3,High
10.5,257,0.5,High
10.7,263,0.4,High
12.6,323,0.4,High
10.7,284,0.4,High
2.9,42,1.2,Low
3.4,44,1.2,Low
3.1,46,1.3,Low
3.0,46,1.3,Low
3.3,44,1.2,Low
2.9,47,1.1,Low
5.1,138,2.4,Medium
5.3,132,2.4,Medium
5.8,140,2.4,Medium
4.4,148,2.6,Medium
6.2,133,2.5,Medium
5.2,159,2.4,Medium
2.7,204,1.1,Low
2.8,216,1.1,Low
2.6,207,1.2,Low
2.4,206,1.0,Low
3.0,172,1.0,Low
2.8,235,1.1,Low
11.2,27,0.8,High
10.6,32,0.7,High
8.7,28,0.8,High
10.1,28,0.8,High
10.6,23,0.9,High
11.9,26,0.9,High
10.7,222,3.0,Medium
9.6,188,2.8,Medium
10.7,227,2.9,Medium
11.1,194,3.4,Medium
10.6,246,3.1,Medium
11.2,234,3.1,Medium
4.2,145,0.5,Low
4.5,164,0.5,Low
4.5,143,0.6,Low
3.9,171,0.5,Low
3.6,146,0.5,Low
4.6,135,0.5,Low
8.4,108,1.2,High
6.8,103,0.9,High
7.1,116,1.3,High
8.8,97,1.2,High
8.4,95,1.4,High
9.1,105,1.2,High
10.1,214,0.3,High
10.3,170,0.3,High
9.4,192,0.3,High
11.9,227,0.3,High
10.7,243,0.3,High
10.2,200,0.3,High
7.3,115,2.6,Medium
7.6,125,2.8,Medium
8.1,108,2.9,Medium
7.4,138,2.4,Medium
8.6,117,2.4,Medium
6.9,111,2.7,Medium
7.1,108,2.5,Medium
7.5,101,2.5,Medium
8.6,126,2.6,Medium
7.1,109,2.7,Medium
6.4,105,2.1,Medium
7.4,114,2.4,Medium
4.0,175,3.6,Medium
4.6,153,3.1,Medium
4.1,193,4.2,Medium
3.8,193,3.6,Medium
3.9,190,3.8,Medium
3.4,200,4.1,Medium
2.5,137,2.1,Low
2.3,142,2.2,Low
2.6,129,2.0,Low
2.5,153,2.2,Low
2.4,147,1.5,Low
2.8,113,2.0,Low
10.9,297,3.7,Medium
9.7,258,4.1,Medium
10.4,307,3.7,Medium
11.4,299,3.2,Medium
12.0,282,3.1,Medium
10.4,341,4.0,Medium
11.0,131,2.5,High
10.6,126,2.4,High
13.3,136,2.6,High
12.1,134,2.4,High
10.8,130,2.5,High
11.8,131,2.7,High
8.2,110,1.7,High
8.1,110,1.4,High
9.0,113,1.9,High
5.8,132,1.7,High
9.1,98,1.8,High
7.3,103,2.0,High
5.1,96,1.8,Low
5.0,98,2.0,Low
5.4,97,1.9,Low
6.3,95,1.8,Low
5.6,106,2.0,Low
5.4,85,2.1,Low
5.2,291,1.2,Low
4.6,299,1.1,Low
5.2,300,1.2,Low
5.4,337,1.3,Low
5.1,319,1.3,Low
4.6,308,1.3,Low
9.1,55,0.7,High
8.8,62,0.7,High
9.2,54,0.7,High
8.1,47,0.8,High
8.3,49,0.5,High
8.5,47,0.8,High
10.9,33,3.7,Medium
12.0,30,4.5,Medium
12.0,31,2.8,Medium
13.4,28,3.1,Medium
12.0,41,4.2,Medium
11.5,34,4.0,Medium
10.8,218,3.3,Medium
11.6,224,3.3,Medium
10.7,201,3.2,Medium
9.0,215,3.0,Medium
9.6,221,3.8,Medium
11.8,183,3.0,Medium
9.7,271,1.6,High
10.6,244,1.6,High
10.2,244,1.6,High
8.4,254,1.7,High
8.2,282,1.6,High
10.2,277,1.8,High
8.2,261,1.0,High
8.3,249,1.0,High
8.6,262,1.0,High
7.6,243,0.9,High
9.6,228,0.9,High
7.6,284,1.0,High
2.4,105,2.7,Low
2.7,97,2.8,Low
2.2,127,2.4,Low
2.5,111,2.8,Low
2.4,103,2.7,Low
2.4,115,3.3,Low
3.2,114,3.2,Medium
3.0,98,3.2,Medium
4.0,104,3.7,Medium
3.7,107,3.4,Medium
3.7,109,3.1,Medium
3.0,102,3.0,Medium
10.9,186,1.2,High
9.6,186,1.1,High
11.2,157,1.2,High
11.8,148,1.2,High
12.2,163,1.4,High
11.4,172,1.2,High
7.9,5,3.3,Medium
8.3,5,3.5,Medium
7.2,5,2.8,Medium
7.8,4,3.1,Medium
8.9,5,3.5,Medium
7.0,4,3.7,Medium
1.6,59,2.2,Low
1.6,72,2.3,Low
1.6,57,2.2,Low
1.6,63,2.4,Low
1.5,51,1.8,Low
1.7,52,1.7,Low
2.6,153,2.6,Low
2.7,191,2.6,Low
2.8,154,2.6,Low
2.8,148,2.7,Low
2.7,142,2.9,Low
2.6,141,2.7,Low
8.5,141,1.1,High
7.7,141,1.1,High
9.4,147,1.1,High
9.2,160,1.2,High
8.5,122,1.0,High
8.2,132,1.1,High
1.6,206,1.1,Low
1.6,216,1.1,Low
1.7,207,0.9,Low
1.4,203,1.0,Low
1.7,237,1.2,Low
1.6,236,1.1,Low
3.2,121,1.6,Low
3.1,113,1.6,Low
3.1,123,1.6,Low
3.2,126,1.8,Low
3.5,103,1.2,Low
3.5,104,1.6,Low
7.3,158,1.0,High
6.4,129,1.1,High
7.9,148,0.7,High
6.9,164,0.9,High
7.4,157,1.1,High
7.4,142,1.1,High
8.8,295,3.2,Medium
8.7,294,2.9,Medium
8.4,268,3.1,Medium
10.3,254,2.7,Medium
10.1,288,3.0,Medium
9.7,277,3.8,Medium
8.4,67,3.0,Medium
9.0,63,3.6,Medium
7.9,71,3.1,Medium
9.5,77,3.0,Medium
7.8,70,2.8,Medium
10.1,67,2.9,Medium
3.8,248,1.3,Low
3.9,214,1.2,Low
4.3,231,1.2,Low
4.0,277,1.4,Low
4.2,229,1.1,Low
4.4,239,1.3,Low
9.0,29,0.4,High
10.2,30,0.4,High
10.9,27,0.4,High
9.1,29,0.5,High
9.5,30,0.4,High
8.7,26,0.4,High
4.0,94,1.0,Low
3.2,113,0.9,Low
3.9,91,1.0,Low
4.3,102,0.9,Low
3.9,96,1.0,Low
4.6,98,1.1,Low
4.9,79,3.3,Medium
5.2,88,3.4,Medium
4.3,82,3.1,Medium
4.6,83,3.7,Medium
4.9,81,3.9,Medium
5.0,99,3.5,Medium
9.3,298,1.8,High
7.7,320,1.9,High
10.5,318,1.8,High
8.2,291,1.6,High
8.8,315,2.1,High
9.7,262,1.9,High
8.3,214,3.9,Medium
9.3,200,3.8,Medium
8.3,197,4.2,Medium
8.2,222,3.6,Medium
7.9,229,3.8,Medium
9.7,205,4.0,Medium
10.4,21,0.3,High
11.4,18,0.2,High
8.8,23,0.3,High
13.1,19,0.3,High
12.0,25,0.4,High
11.7,23,0.3,High
8.4,132,1.0,High
9.1,124,0.9,High
8.4,129,1.0,High
9.0,144,1.0,High
9.6,116,1.0,High
7.8,107,1.0,High
7.5,255,1.2,High
7.4,293,1.3,High
6.7,302,1.3,High
7.9,249,1.1,High
7.2,282,1.4,High
8.7,242,1.1,High
2.5,183,2.0,Low
2.5,150,2.1,Low
2.5,174,1.7,Low
2.6,173,1.8,Low
1.8,182,2.4,Low
2.9,174,1.9,Low
5.4,186,0.2,Low
5.7,167,0.2,Low
5.8,208,0.2,Low
5.3,169,0.2,Low
5.3,192,0.2,Low
5.0,213,0.2,Low
4.3,156,1.9,Low
4.3,144,1.4,Low
4.7,167,1.8,Low
4.3,164,1.6,Low
4.1,168,1.7,Low
4.4,134,2.0,Low
4.1,29,3.4,Medium
4.1,24,3.8,Medium
3.8,26,3.5,Medium
4.6,26,3.4,Medium
4.3,31,3.5,Medium
3.9,26,3.4,Medium
11.7,184,0.2,High
10.4,130,0.2,High
12.8,140,0.2,High
12.4,221,0.2,High
10.8,180,0.2,High
10.9,169,0.2,High
5.6,202,2.0,Low
5.1,204,2.3,Low
5.8,196,1.9,Low
4.7,219,2.0,Low
5.5,266,2.1,Low
5.2,193,2.2,Low
10.9,165,3.9,Medium
11.0,141,4.3,Medium
10.2,195,4.3,Medium
10.4,186,3.9,Medium
11.8,172,3.6,Medium
10.2,181,3.8,Medium
8.1,181,2.1,High
7.8,163,2.2,High
9.8,161,2.1,High
9.2,179,2.2,High
7.2,188,2.1,High
8.9,202,2.6,High
9.8,289,1.7,High
10.4,298,1.7,High
9.5,298,1.6,High
10.0,327,1.5,High
10.9,327,1.7,High
7.7,271,1.9,High
6.8,67,0.9,High
6.8,60,0.9,High
7.4,70,0.9,High
6.6,64,0.8,High
7.9,64,1.0,High
7.8,73,0.9,High
7.6,154,1.8,High
7.9,153,1.6,High
7.8,135,2.0,High
7.2,157,1.9,High
7.4,163,1.7,High
8.3,133,1.8,High
6.7,158,1.1,High
8.0,142,1.0,High
7.0,160,1.1,High
7.0,168,1.2,High
7.0,154,1.2,High
8.0,155,1.0,High
3.6,160,3.0,Medium
4.0,158,2.3,Medium
3.9,151,3.0,Medium
3.7,163,3.2,Medium
3.4,168,2.9,Medium
3.9,169,2.7,Medium
9.1,53,1.0,High
10.1,50,1.1,High
9.4,62,1.0,High
8.8,52,1.0,High
9.8,44,0.9,High
8.1,58,1.2,High
4.4,88,2.6,Medium
4.4,86,2.6,Medium
4.9,79,2.7,Medium
4.8,92,2.6,Medium
4.8,64,2.8,Medium
4.1,71,2.7,Medium
1.8,181,0.4,Low
2.0,178,0.4,Low
2.1,204,0.5,Low
1.9,182,0.3,Low
1.8,165,0.5,Low
1.8,183,0.4,Low
8.3,152,2.0,High
8.3,177,1.9,High
8.5,140,1.7,High
7.8,151,1.9,High
7.7,130,2.0,High
7.1,163,2.0,High
3.4,122,2.2,Low
2.9,118,2.0,Low
3.5,138,1.8,Low
3.4,120,2.3,Low
3.5,112,2.1,Low
3.1,135,2.2,Low
